seccion,subcategoria,palabra,pista
sistemas,Materias,Bases de Datos,"Materia sobre SQL, modelo relacional, claves foráneas y consultas avanzadas"
sistemas,Materias,Estructuras de Datos,"Materia con listas enlazadas, pilas, colas, árboles binarios y grafos"
sistemas,Materias,Ingeniería de Software,"Materia sobre metodologías ágiles, Scrum, diagramas UML y testing"
sistemas,Materias,Sistemas Operativos,"Materia donde se aprende de memoria virtual, procesos, hilos y Linux"
sistemas,Materias,Redes de Computadores,"Materia sobre cableado estructurado, modelo OSI, routers y paquetes IP"
sistemas,Materias,Arquitectura de Software,"Materia de patrones de diseño, microservicios, escalabilidad y buenas prácticas"
sistemas,Materias,Inteligencia Artificial,"Materia sobre redes neuronales, modelos predictivos y algoritmos genéticos"
sistemas,Materias,Programación Móvil,"Asignatura donde se construyen apps para Android, iOS y dispositivos móviles"
sistemas,Materias,Cálculo Integral,"Materia de ciencias básicas con sumas de Riemann, integrales y áreas bajo la curva"
sistemas,Materias,Cálculo Diferencial,"Materia con límites, derivadas y optimización de funciones"
sistemas,Materias,Álgebra Lineal,"Materia de matrices, determinantes, vectores y espacios vectoriales"
sistemas,Materias,Física Mecánica,"Asignatura de vectores, cinemática, leyes de Newton y energía"
sistemas,Materias,Ciberseguridad,"Materia sobre protección de datos, vulnerabilidades, pentesting y firewalls"
sistemas,Materias,Criptografía,"Materia de cifrado simétrico y asimétrico, hashes y firmas digitales"
sistemas,Materias,Compiladores,"Materia sobre análisis léxico, sintáctico, semántico y árboles de sintaxis"
sistemas,Materias,Sistemas Distribuidos,"Materia sobre concurrencia, tolerancia a fallos y comunicación cliente-servidor"
sistemas,Materias,Gestión de Proyectos TI,"Asignatura de cronogramas, presupuestos, riesgos y entregables de software"
sistemas,Materias,Métodos Numéricos,"Materia para resolver ecuaciones complejas mediante aproximaciones iterativas"
sistemas,Profesores,Ing. Milton Jesús,"Docente titular de bases de datos, algoritmos y proyectos"
sistemas,Profesores,Ing. Judith del Pilar,"Docente líder en procesos de acreditación y calidad de sistemas"
sistemas,Profesores,Ing. Claudia Gómez,"Docente destacada del departamento de sistemas e informática"
sistemas,Profesores,Ing. Marco Adarme,"Profesor experto en redes, desarrollo web y sistemas distribuidos"
sistemas,Profesores,Ing. Carlos René,"Profesor de programación y algoritmos avanzados"
sistemas,Profesores,Ing. Sergio Castro,"Docente de ingeniería de software y desarrollo empresarial"
sistemas,Profesores,Ing. Wilson Sánchez,"Docente del área de ciencias de la computación e ingeniería"
sistemas,Profesores,Ing. César Vega,"Profesor de análisis de sistemas y desarrollo web"
sistemas,Profesores,Ing. Byron Medina,"Docente de programación, arquitectura y proyectos tecnológicos"
sistemas,Profesores,Ing. Mónica Peñaranda,"Docente de ingeniería de software e investigación"
